mse_penalty,tol,breakpoint_reg,t_squared_objective,lower_bound,upper_bound
8.0,1e-06,0.0,False,0.04822320844635155,
8.0,1e-06,1e-12,True,0.0488622991524802,
8.0,1e-06,1e-12,False,0.04822320844474512,
8.0,1e-06,1e-08,True,0.04886006199309328,
8.0,1e-06,1e-08,False,0.048223218216334615,
8.0,1e-09,0.0,True,0.048860451382154856,
8.0,1e-09,0.0,False,0.04822653240212389,
8.0,1e-09,1e-12,True,0.04886045102873949,
8.0,1e-09,1e-12,False,0.04822653245831321,
8.0,1e-09,1e-08,True,0.048860465480058436,
8.0,1e-09,1e-08,False,0.04822654306920163,
8.333333333333332,1e-06,0.0,True,0.0488608663959675,1.0468409394377969
8.333333333333332,1e-06,0.0,False,0.048278838221994004,
8.333333333333332,1e-06,1e-12,True,0.048861405481073136,
8.333333333333332,1e-06,1e-12,False,0.04827883492908115,
8.333333333333332,1e-06,1e-08,True,0.04886870867282449,
8.333333333333332,1e-06,1e-08,False,0.04827908383838947,
8.333333333333332,1e-09,0.0,True,0.04886045356744575,
8.333333333333332,1e-09,0.0,False,0.048279819269816525,
8.333333333333332,1e-09,1e-12,True,0.04886046333958022,
8.333333333333332,1e-09,1e-12,False,0.048279819214062616,
8.333333333333332,1e-09,1e-08,True,0.04886047377961775,
8.333333333333332,1e-09,1e-08,False,0.0482798269603908,
8.666666666666666,1e-06,0.0,True,0.048860662260179544,
8.666666666666666,1e-06,0.0,False,0.04832154625948023,
8.666666666666666,1e-06,1e-12,True,0.04886128989370027,
8.666666666666666,1e-06,1e-12,False,0.04832154724851176,1.3224835745149357
8.666666666666666,1e-06,1e-08,True,0.04884687708007915,
8.666666666666666,1e-06,1e-08,False,0.04832129890597728,
8.666666666666666,1e-09,0.0,True,0.048860473900834825,
8.666666666666666,1e-09,0.0,False,0.04832681947828673,
8.666666666666666,1e-09,1e-12,True,0.048860472087534176,
8.666666666666666,1e-09,1e-12,False,0.0483268202216022,1.3200649632510504
8.666666666666666,1e-09,1e-08,True,0.048860479676262905,
8.666666666666666,1e-09,1e-08,False,0.04832682759071135,
9.0,1e-06,0.0,True,0.048859069676823894,
9.0,1e-06,0.0,False,0.04836812717040385,
9.0,1e-06,1e-12,True,0.04885813096861502,
9.0,1e-06,1e-12,False,0.048368127456544174,
9.0,1e-06,1e-08,True,0.04886337803854433,1.046838885811175
9.0,1e-06,1e-08,False,0.048368280096279755,
9.0,1e-09,0.0,True,0.048860477248910336,
9.0,1e-09,0.0,False,0.048368588978597055,1.27887766247165
9.0,1e-09,1e-12,True,0.0488604798336305,
9.0,1e-09,1e-12,False,0.04836858964012629,
9.0,1e-09,1e-08,True,0.04886049969467823,
9.0,1e-09,1e-08,False,0.04836859920897911,
9.333333333333332,1e-06,0.0,True,0.04886035918312423,
9.333333333333332,1e-06,0.0,False,0.04840568221721559,
9.333333333333332,1e-06,1e-12,True,0.048860735164236,
9.333333333333332,1e-06,1e-12,False,0.04840569592413073,
9.333333333333332,1e-06,1e-08,True,0.04885912931220585,1.0468371015600346
9.333333333333332,1e-06,1e-08,False,0.048405487446314815,1.241042526762643
9.333333333333332,1e-09,0.0,True,0.04886049558508439,
9.333333333333332,1e-09,0.0,False,0.048405962383667706,
9.333333333333332,1e-09,1e-12,True,0.048860493089139985,
9.333333333333332,1e-09,1e-12,False,0.04840596117117447,
9.333333333333332,1e-09,1e-08,True,0.04886050279323182,
9.333333333333332,1e-09,1e-08,False,0.048405972742879465,
9.666666666666666,1e-06,0.0,True,0.04887013023638282,
9.666666666666666,1e-06,0.0,False,0.048438951496318446,1.2061438959653548
9.666666666666666,1e-06,1e-12,True,0.04886038590146727,
9.666666666666666,1e-06,1e-12,False,0.048438997134760714,1.2061384628566585
9.666666666666666,1e-06,1e-08,True,0.048861138872289586,
9.666666666666666,1e-06,1e-08,False,0.048439447163198035,
9.666666666666666,1e-09,0.0,True,0.04886050783336486,
9.666666666666666,1e-09,0.0,False,0.048439602764532054,
9.666666666666666,1e-09,1e-12,True,0.04886050186404482,
9.666666666666666,1e-09,1e-12,False,0.048439603632391436,
9.666666666666666,1e-09,1e-08,True,0.04886051687459351,
9.666666666666666,1e-09,1e-08,False,0.04843960702992627,
10.0,1e-06,0.0,True,0.04886102450921426,
10.0,1e-06,0.0,False,0.04846953687530086,
10.0,1e-06,1e-12,True,0.04886100639425188,
10.0,1e-06,1e-12,False,0.04846953675408293,1.1710589138298195
10.0,1e-06,1e-08,True,0.04885276087931743,
10.0,1e-06,1e-08,False,0.0484695481205664,
10.0,1e-09,0.0,True,0.04886050993337225,
10.0,1e-09,0.0,False,0.04847004767478793,
10.0,1e-09,1e-12,True,0.04886049995472657,
10.0,1e-09,1e-12,False,0.048470047651176115,
10.0,1e-09,1e-08,True,0.048860516828300386,
10.0,1e-09,1e-08,False,0.04847005776133703,
10.333333333333332,1e-06,0.0,True,0.04886348428654598,
10.333333333333332,1e-06,0.0,False,0.04849832708135081,
10.333333333333332,1e-06,1e-12,True,0.04887015769785986,
